Judul Berita,Text Berita,Tanggal Berita,Tag,Link
"Mengintip Mudik Idul Adha di Bangladesh, Padat Banget",Bangladesh - Kapal feri di Terminal Feri Sadarghat Dhaka diserbu ribuan warga yang pergi mudik. Mereka meninggalkan ibu kota untuk merayakan Idul Adha bersama keluarga.,2023-06-28 17:00:47,"bangladesh, mudik, idul adha, kapal feri, idul adha 2023, fotodetikcom",https://finance.detik.com/foto-bisnis/d-6796537/mengintip-mudik-idul-adha-di-bangladesh-padat-banget?pk_vid=b9277c572f02caa9175799140346444d
"Kapal Feri Mati Mesin di Selat Bali, Terbawa Arus","Kapal motor penumpang (KMP) Perkasa Prima 5 mengalami mati mesin di Selat Bali pada pukul 06.45 Wita, Rabu (10/5/2023). Akibatnya, kapal feri itu terbawa arus hingga ke selatan, dekat Pasar Gilimanuk.

Korsatpel Balai Pengelola Transportasi Darat (BPTD) Pelabuhan Gilimanuk I Nyoman Agus Sugiarta menjelaskan KMP Perkasa Prima 5 mengalami mengalami mati mesin. Namun, kapal tersebut sudah bersandar di dermaga LCM Pelabuhan Gilimanuk.

""Semua penumpang maupun kendaraan sudah berhasil dikeluarkan dari kapal dalam keadaan selamat,"" ungkap Sugiarta kepada detikBali, Rabu (10/5/2023).

SCROLL TO CONTINUE WITH CONTENT

Berdasarkan informasi yang dihimpun detikBali KMP Perkasa Prima 5 dievakuasi oleh kapal lainnya. Namun, evakuasi sempat mengalami kesulitan karena sistem identifikasi otomatis (AIS) KMP Perkasa Prima 5 juga mati.

Sampai akhirnya KMP Perkasa Prima 5 sudah memasuki perairan Pelabuhan Gilimanuk pada pukul 7.55 Wita. Kapal itu bisa bersandar di dermaga LCM pada pukul 08.08 Wita.

ADVERTISEMENT

Sugiarta menjelaskan KMP Perkasa 5 saat ini masih berada di dermaga LCM menunggu tim teknisi. ""Rencananya akan bertolak ke Pelabuhan Ketapang,"" ungkapnya.",2023-05-10 12:42:27,"kapal feri, selat bali, jembrana, pelabuhan gilimanuk",https://www.detik.com/bali/berita/d-6713097/kapal-feri-mati-mesin-di-selat-bali-terbawa-arus
Kronologi KMP Royce 1 Terbakar di Laut Merak hingga Penumpang Dievakuasi,"Kapal feri KMP Royce 1 terbakar di laut Merak, Banten. Laporan awal kebakaran kapal diterima oleh petugas Vessel Traffic Service (VTS) Merak.

Kebakaran tersebut terjadi pada Sabtu (6/5/2023). Awal mula informasi kebakaran diterima sekitar pukul 14.50 WIB.

Proses evakuasi pun selesai pukul 19.21 WIB. Baru pada malam hari, kebakaran di kapal feri KMP Royce 1 berhasil dipadamkan.

SCROLL TO CONTINUE WITH CONTENT

Berikut ini kronologi kebakaran kapal feri KMP Royce 1:

14.50 WIB

ADVERTISEMENT

Awalnya, petugas mendapat laporan ada kapal terbakar di jalur laut Merak-Bakauheni sekitar pukul 14.50 WIB. Namun demikian, saat itu, tak ada informasi lengkap jenis dan nama kapal yang terbakar. Petugas VTS kemudian memastikan informasi tersebut ke sumber radio.

""VTSO kembali mengecek dari monitor cctv untuk keberadaan kapal terbakar tersebut

Posisi kapal 05.56.252'S /105.57.401'E. Pukul 14.55 VTSO Memastikan ke KMP Royce 1 dan ternyata berita tersebut benar KMP ROYCE 1 mengalami kebakaran di sebelah lambung kiri,"" kata petugas VTS Merak, Sudirman, melalui keterangannya.

Mendapat informasi tersebut, petugas menyiarkan berita melalui radio komunikasi ke seluruh kapal yang berlayar di perairan Merak untuk membantu kapal tersebut.

""VTSO melakukan broadcast terkait kebakaran KMP ROYCE 1 kepada kapal kapal di sekitar Pelabuhan Merak agar mengirimkan bantuan kepada kapal tersebut,"" ujarnya.

Petugas juga menghubungi kapal-kapal tandu yang biasa beroperasi di perairan Merak untuk membantu memadamkan api. Beberapa kapal tandu yang berada di Pelabuhan Ciwandan, Cigading, dan sekitarnya merapat ke lokasi kejadian untuk mengevakuasi penumpang.

Tak hanya itu, berita kapal terbakar diteruskan ke beberapa instansi terkait seperti Lanal Banten, Polairud Banten, Dinas Kesehatan, Basarnas, serta PT Pelabuhan Cilegon Mandiri (PCM).

""VTSO berkomunikasi dengan pihak KKP (Kantor Kesehatan Pelabuhan) meneruskan info dari kapal patroli untuk meminta bantuan ambulans serta kesehatan di Dermaga 1 bagi para korban,"" katanya.

19.21 WIB

Kapal-kapal tandu yang tadi disiarkan informasi merapat untuk mengevakuasi para penumpang. Petugas menerima informasi bahwa ada ibu hamil di antara penumpang tersebut.

Evakuasi penumpang berlangsung sekitar 4 jam lebih. Petugas memprioritaskan para ibu dan anak untuk dievakuasi terlebih dahulu. Kapal-kapal tunda yang merapat ke lokasi terus melakukan pemadaman.

""Pukul 19.21, VTSO menerima informasi dari KRI. Lauser 924 masih melakukan evakuasi Crew dan sekarang KRI Lauser sedang mengantarkan 7 ABK crew kapal KMP. Royce I menuju Indah Kiat,"" katanya.

20.00 WIB

Sekitar pukul 20.00 WIB, api di dalam kapal berhasil dipadamkan. Namun, proses pendinginan terus dilakukan untuk memastikan tak ada lagi percikan api.

""Untuk jumlah korban jiwa serta kerusakan masih menunggu informasi selanjutnya dari kapal KMP Royce 1,"" katanya.

Simak juga Video: Kapal Feri Terbakar di Laut Merak Banten

[Gambas:Video 20detik]





",2023-05-07 00:48:20,"kapal feri kmp royce 1, kebakaran, kapal feri, merak, cilegon, laut merak",https://news.detik.com/berita/d-6707522/kronologi-kmp-royce-1-terbakar-di-laut-merak-hingga-penumpang-dievakuasi?pk_vid=b9277c572f02caa9175799141646444d
"KMP Royce 1 Terbakar di Laut Merak, 3 Korban Dilarikan ke IGD","Wali Kota Cilegon Helldy Agustian mengatakan ada 3 korban kebakaran kapal feri KMP Royce 1 yang dilarikan ke IGD rumah sakit. Selain itu, ada 5 orang yang dilarikan ke puskesmas di Cilegon akibat mengalami sesak napas.

""Sampai saat ini tadi kami menerima laporan di puskesmas ada 5 orang ada yang sesak nafas. Ada 3 orang di IGD di rumah sakit, informasinya ada 3 ke rumah sakit,"" kata Helldy ke wartawan di Pelabuhan Merak, Sabtu (6/3/2023).

Pemkot belum menerima adanya laporan korban yang meninggal dunia. Termasuk berapa jumlah korban yang mengalami luka-luka baik berat maupun ringan.

SCROLL TO CONTINUE WITH CONTENT

""Belum ada laporan, termasuk jumlahnya belum ada, cuma ada di puskesmas Merak ada 5, di RS ada 3 ,"" ujarnya.

Pemkot masih koordinasi dengan Pangkalan Angkatan Laut Banten dan Basarnas mengenai jumlah pasti korban luka. Karena saat ini, Angkatan Laut masih di tengah laut untuk memastikan apakah ada korban.

ADVERTISEMENT

""Kami koordinasi dengan Dan Lanal, beliau masih ada di laut untuk mastikan apakah ada korban atau tidak,"" tambahnya.

Helldy kemudian menjelaskan, berdasarkan keterangan penumpang, api di KMP Royce 1 bukan berasal dari kapal. Tapi muncul dari kendaraan besar di parkiran mobil.

""Kemungkinan dari kendaraan besar ada percikan api,"" ujarnya.

Posisi kebakaran adalah satu jam saat kapal berangkat dari Merak. Korban dievakuasi oleh sekoci dan kapal feri terdekat oleh tim Basarnas.

""Ada juga dari kapal memang didempetkan jadi dia (korban) lompat, kapal renggang didempetkan lagi, jadi luar biasa penanganan cepat,"" ujarnya.

Seluruh penumpang selamat, simak di halaman beriikutnya.

Simak Video: Kapal Feri Terbakar di Laut Merak Banten

[Gambas:Video 20detik]





",2023-05-06 23:37:18,"kapal feri, kapal feri kmp royce 1, kebakaran, merak",https://news.detik.com/berita/d-6707501/kmp-royce-1-terbakar-di-laut-merak-3-korban-dilarikan-ke-igd?pk_vid=b9277c572f02caa9175799143046444d
"Penumpang KMP Royce 1 Terbakar di Laut Merak Dievakuasi, Ada Korban Luka","Petugas masih mengevakuasi penumpang kapal feri KMP Royce 1 yang terbakar di perairan Merak. Penumpang dievakuasi petugas menggunakan ambulans dan mobil pribadi ke rumah sakit dan kantor ASDP.

Pantauan detikcom di Pelabuhan Merak pukul 17.15 WIB, korban kebakaran kapal feri dievakuasi oleh petugas ke beberapa kapal terdekat. Ada korban yang dievakuasi oleh tim ke kapal Dorothy.

Beberapa penumpang oleh petugas langsung diarahkan ke ambulans dan beberapa mobil petugas. Ada korban yang dibawa menggunakan tandu menuju ambulans.

SCROLL TO CONTINUE WITH CONTENT

""Ada yang luka dibawa ke RS, ada sebagian di ASDP,"" kata Ketua Gabungan Pengusaha Angkutan Sungai, Danau, dan Penyeberangan (Gapasdap) Togar Nalitupulu di lokasi, Cilegon (6/5/2023).

Penumpang katanya dievakuasi ke kapal feri yang terdekat oleh tim. Ada lima kapal yang melakukan evakuasi penumpang.

ADVERTISEMENT

""Kapal terdekat harus ngambil ada lima kapal,"" ujarnya.

Belum ada data pasti soal korban luka akibat kebakaran kapal tersebut. Termasuk soal apakah ada korban yang meninggal dunia.

""Belum ada laporan,"" ujarnya.",2023-05-06 19:27:38,"kapal feri, kapal feri kmp royce 1, kebakaran, merak, laut merak, banten",https://news.detik.com/berita/d-6707250/penumpang-kmp-royce-1-terbakar-di-laut-merak-dievakuasi-ada-korban-luka?pk_vid=b9277c572f02caa9175799143646444d
Kapal Feri Terbakar di Laut Merak,"Kapal feri terbakar di Laut Merak, Banten. Belum diketahui pasti ada tidaknya korban jiwa.

""Kalau kejadian betul, kita masih pendataan,"" kata Kasi Ops Basarnas Banten Heru Amir saat dimintai konfirmasi, Sabtu (6/5/2023).

Peristiwa terbakarnya kapal feri terjadi sekitar pukul 15.20 WIB. Tim Basarnas Banten masih melakukan evakuasi di tengah laut.

SCROLL TO CONTINUE WITH CONTENT

""Lagi evakuasi, info lain menyusul, ya,"" kata dia.

Belum diketahui jumlah penumpang dan muatan di dalam kapal. Penyebab kebakaran juga belum diketahui. Tim SAR berfokus melakukan evakuasi korban.",2023-05-06 16:25:01,"kapal feri terbakar, kapal terbakar, laut merah, kapal feri",https://news.detik.com/berita/d-6707005/kapal-feri-terbakar-di-laut-merak?pk_vid=b9277c572f02caa9175799144346444d
Harga Tiket-Jadwal Penyeberangan Ferry Batam-Singapura Mei 2023,"Kota Batam, Kepulauan Riau (Kepri) merupakan wilayah perbatasan dengan Negara Singapura. Untuk menuju Singapura dari Batam dapat ditempuh menggunakan jalur laut.

Setiap harinya ada puluhan pelayaran dari Batam ke Singapura. Untuk menuju negara Singapura dari Batam, pelancong dapat melalui beberapa Pelabuhan Internasional di antaranya Pelabuhan Internasional, Batam Center, Pelabuhan Internasional Harbour Bay, Pelabuhan Internasional Sekupang dan Pelabuhan Internasional Nongsa Pura.

Pada empat pelabuhan tersebut dilayani tiga agen kapal yang melayani pelayaran Batam Singapura yakni operator kapal Ferry Batam Fast, kapal Ferry Majestic dan kapal Sindo Ferry menuju Singapura.

SCROLL TO CONTINUE WITH CONTENT

Untuk harga tiket Batam-Singapura melalui pelabuhan internasional sebesar Rp 700 ribu hingga Rp 730 ribu untuk pulang-pergi. Tiket sekali jalan di harga 350 ribu hingga Rp 430 ribu untuk masing-masing operator kapal.

Berikut jadwal keberangkatan kapal Ferry dari Batam melalui Pelabuhan Internasional ke Singapura setiap hari selama Mei 2023.

ADVERTISEMENT

Jadwal Kapal Ferry Batam Fast:

- Pelabuhan Internasional Batam Center ke Harbourfront, Singapura

Pukul 06:00 WIB

Pukul 07:00 WIB

Pukul 08:20 WIB

Pukul 09:50 WIB

Pukul 12:50 WIB

Pukul 14:10 WIB

Pukul 15:20 WIB

Pukul 16:30 WIB

Pukul 17:40 WIB

Pukul 19:00 WIB

Pukul 20:30 WIB

- Pelabuhan Internasional Batam Center ke Tanah Merah, Singapura

Pukul 07.45 WIB

Pukul 08.00 WIB

Pukul 09.20 WIB

Pukul 11.30 WIB

Pukul 13.20 WIB

- Pelabuhan internasional Sekupang ke Harbourfront, Singapura

Pukul 06.00 WIB

Pukul 07.00 WIB

Pukul 08.30 WIB

Pukul 11.20 WIB

Pukul 12.30 WIB

Pukul 15.00 WIB

Pukul 15.20 WIB

Pukul 17.30 WIB

- Pelabuhan Internasional Nongsa Pura ke Tanah Merah, Singapura

Pukul 08.00 WIB

Pukul 10.00 WIB

Pukul 12.00 WIB

Pukul 16.30 WIB

Jadwal Kapal Ferry Majestic:

- Pelabuhan Internasional Batam Center ke Harbourfront, Singapura

Pukul 06.00 WIB

Pukul 07.10 WIB

Pukul 08.20 WIB

Pukul 09.30 WIB

Pukul 10.20 WIB

Pukul 11.30 WIB

Pukul 12.30 WIB

Pukul 13.00 WIB

Pukul 14.00 WIB

Pukul 14.30 WIB

Pukul 15.00 WIB

Pukul 16.00 WIB

Pukul 16.45 WIB

Pukul 17.30 WIB

Pukul 18.30 WIB

Pukul 19.30 WIB

Pukul 20.00 WIB

- Pelabuhan Internasional Batam Center ke Tanah Merah, Singapura

Pukul 06.15 WIB

Pukul 08.25 WIB

Pukul 12.00 WIB

Pukul 15.30 WIB

Pukul 18.10 WIB

- Pelabuhan Internasional Sekupang ke Harbourfront, Singapura

Pukul 06.00 WIB

Pukul 09.90 WIB

Pukul 13.10 WIB

Pukul 16.20 WIB

Pukul 18.00 WIB

Jadwal Kapal Sindo Ferry:

- Pelabuhan Internasional Batam Center ke Harbourfront, Singapura

Pukul 06.00 WIB

Pukul 07.20 WIB

Pukul 08.40 WIB

Pukul 10.40 WIB

Pukul 12.40 WIB

Pukul 14.00 WIB

Pukul 16.10 WIB

Pukul 15.10 WIB

Pukul 17.20 WIB

Pukul 18.20 WIB

Pukul 19:30 WIB

- Pelabuhan Internasional Batam Center ke Tanah Merah, Singapura

Pukul 08.00 WIB

Pukul 09.20 WIB

Pukul 11.30 WIB

Pukul 13.20 WIB

- Pelabuhan Internasional Sekupang ke Harbourfront, Singapura

Pukul 06.00 WIB

Pukul 07.00 WIB

Pukul 08.40 WIB

Pukul 11.20 WIB

Pukul 12.30 WIB

Pukul 15.20 WIB

Pukul 17.30 WIB",2023-05-02 02:00:17,"batam, penyeberangan kapal, kapal feri, kapal ferry, batam singapura",https://www.detik.com/sumut/berita/d-6698130/harga-tiket-jadwal-penyeberangan-ferry-batam-singapura-mei-2023
"Digitalisasi Tiket Kapal Feri Tutup Celah Calo, Penumpang Bisa Sat Set","PT ASDP Indonesia Ferry sudah menerapkan digitalisasi dalam pemesanan tiket penyeberangan. Hal ini dinilai bisa menekan calo tiket kapal feri.

""Digitalisasi Ferizy sudah baik dan menutup celah bagi calo, tetapi memang ada beberapa kasus, penyeberang tidak men-download aplikasi dan membeli sendiri tiket penyeberangan dengan berbagai macam sebab, dan kasus seperti ini lalu dilihat sebagai peluang bagi calo tiket. Apalagi tidak ada layanan pembelian tiket di pelabuhan selama mudik, sehingga sebagian kecil penyeberang tidak membeli tiket melalui aplikasi atau jalur resmi,"" ujar Akademisi Program Studi Perencanaan Wilayah dan Kota Jurusan Teknologi Infrastruktur dan Kewilayahaan (JTIK) ITERA Ilham Malik dalam keterangannya, Selasa (25/4/2023).

Menurut Ilham, calo muncul dari ketidaktahuan penyeberang bahwa mereka bisa mandiri membeli tiket dengan cepat dan murah. Namun hal ini bisa dimaklumi karena biasanya terjadi pada pemudik yang baru pertama kali menyeberang.

SCROLL TO CONTINUE WITH CONTENT

""Saya kira (calo) di arus balik akan berkurang karena warga sudah tahu mereka perlu download Ferizy dan membeli tiket secara mandiri dan akan lebih murah daripada beli dari calo. Saya kira, angka calo di Merak sangat kecil, dan di Bakauheni pasti akan jauh lebih kecil daripada di Merak karena pengguna jasa sudah mendapatkan info tentang aplikasi Ferizy,"" tuturnya.

Pada tahun ini 95% pengendara motor telah membeli tiket melalui Ferizy dan terjadi peningkatan signifikan dari tahun lalu yang hanya berada di bawah 20%. Sejak pertama kali diluncurkan pada Maret 2020, pengguna Ferizy sudah menembus angka 1,38 juta.



Wahyuni, seorang penumpang kapal feri yang akan menuju Lampung, mengatakan dirinya sudah sejak beberapa tahun lalu menggunakan Ferizy untuk membeli tiket kapal feri.

ADVERTISEMENT

""Saya mau ke Lampung buat mudik. Saya beli tiketnya online pakai aplikasi Ferizy. Sudah dari beberapa tahun lalu selalu pakai aplikasi ini,"" tutur Wahyuni.

Menurutnya, Ferizy mempersingkat waktu untuk membeli tiket dan menghindari antre dengan calon penumpang lain.

""Tiket online ini bikin lebih mudah, tidak mengantre dan lebih cepat, aman dan nyaman dibanding dulu sebelum ada tiket online,"" jelasnya.

Berlanjut ke halaman berikutnya.",2023-04-25 20:00:11,"asdp indonesia ferry, kapal feri, ferizy",https://finance.detik.com/berita-ekonomi-bisnis/d-6689210/digitalisasi-tiket-kapal-feri-tutup-celah-calo-penumpang-bisa-sat-set?pk_vid=b9277c572f02caa9175799145646444d
Momen Warga Mudik dengan Kapal Feri di Pelabuhan Merak,"Banten - Lebaran dalam hitungan hari lagi, para pemudik yang akan berpergian ke Sumatera dengan kapal feri mulai terlihat di Pelabuhan Merak, Banten. Begini potretnya.",2023-04-19 11:00:46,"pelabuhan merak, mudik lebaran 2023, lebaran 2023, kapal feri, fotodetikcom",https://finance.detik.com/foto-bisnis/d-6679871/momen-warga-mudik-dengan-kapal-feri-di-pelabuhan-merak?pk_vid=b9277c572f02caa9175799146146444d
Ingat! Beli Tiket Kapal Feri Sudah Tak Bisa Langsung di Pelabuhan,"Direktur Utama PT ASDP Indonesia Ferry ( Persero) Ira Puspadewi mengatakan pihaknya tak lagi menjual tiket penyeberangan secara langsung. Semua tiket kapal feri harus dibeli secara online, tak bisa lagi dibeli saat ingin melakukan penyeberangan di pelabuhan.

Ira menyatakan semua orang yang mau masuk pelabuhan harus sudah punya tiket. Kalau perlu, pembelian dilakukan sebelum tanggal keberangkatan.

""Semua orang ke pelabuhan harus punya tiket, tidak ada lagi go show,"" ungkap Ira dalam Diskusi Interaktif Program Mudik Berkesan 2023 bersama detikcom di Command Center Mudik Kemenhub, Jakarta Pusat, Kamis (13/4/2023)

SCROLL TO CONTINUE WITH CONTENT

Ira menyatakan pihaknya akan mengecek tiket di beberapa titik sebelum masuk pelabuhan. Pihaknya dan kepolisian akan turun ke jalan untuk mengecek tiket, targetnya semua orang sudah memiliki tiket sebelum masuk ke dalam pelabuhan.

""Di beberapa titik rest area atau jalur arteri nanti akan ada perlambatan, jadi kami filtering kemudian checking oleh polisi tandem sama ASDP apakah peserta mudik punya tiketnya atau belum,"" papar Ira.

ADVERTISEMENT

Dia menyatakan hanya orang yang sudah punya tiket saja yang boleh masuk pelabuhan dan melanjutkan penyeberangan. Maka dari itu dia mengimbau juga kepada masyarakat untuk patuh membeli tiket lebih dulu sebelum ke pelabuhan.

""Kami harap udah nggak ada lagi yang nggak punya tiket sebelum masuk pelabuhan. Kami mengimbau masyarakat juga tertib ikuti aturan yang ada,"" kata Ira.

Simak Video '27.361 Penumpang Nyeberang ke Sumatera dari Pelabuhan Merak':



[Gambas:Video 20detik]







Berlanjut ke halaman berikutnya.",2023-04-13 14:47:07,"Ira Puspadewi, kapal ASDP, PT ASDP, Budi Karya, Indonesia, H, Command Center Mudik Kemenhub, Jakarta Pusat, Jawa, Bakauheni",https://finance.detik.com/berita-ekonomi-bisnis/d-6671219/ingat-beli-tiket-kapal-feri-sudah-tak-bisa-langsung-di-pelabuhan?pk_vid=b9277c572f02caa9175799147446444d
Pelabuhan Ciwandan dan Panjang Beroperasi Saat Mudik Lebaran 2023,"Pemerintah membuat mekanisme baru untuk penyeberangan di Selat Sunda, tepatnya penyeberangan Pulau Jawa dan Sumatera. Ada dua pelabuhan baru yang akan dioperasikan untuk menunjang kelancaran mudik Lebaran.

Pengaturan baru penyeberangan pada masa angkutan lebaran tertuang dalam Keputusan Bersama Nomor: KP-DRJD 2616 Tahun 2023, SKB/48/IV/2023, 05/PKS/Db/2023 Tentang Pengaturan Lalu Lintas Jalan Serta Penyeberangan Selama Masa Arus Mudik dan Arus Balik Angkutan Lebaran Tahun 2023/1444 Hijriah yang disepakati antara Ditjen Hubdat, Korlantas Polri serta Ditjen Bina Marga.

Dikutip dari Instagram resmi @ditjen_hubdat, Senin (10/4/2023), mekanisme baru ini akan berlaku mulai 15 April hingga 1 Mei 2023. Pelabuhan Ciwandan dan Pelabuhan Panjang dioperasikan untuk menunjang kelancaran arus mudik dan balik pada masa Lebaran tahun ini.

SCROLL TO CONTINUE WITH CONTENT

Mekanisme Baru di Penyeberangan Jawa-Sumatera:

Tujuan Sumatera dari Jawa

- Kendaraan roda 4 dan bus melalui Pelabuhan Merak

- Kendaraan barang dan sepeda motor melalui Pelabuhan Ciwandan

ADVERTISEMENT

Tujuan Jawa dari Sumatera

- Kendaraan roda 4 dan bus melalui Pelabuhan Bakauheni

- Kendaraan sepeda motor dibagi dua melalui Pelabuhan Bakauheni dan Pelabuhan Panjang

- Kendaraan barang dan truk melalui Pelabuhan Panjang

Kementerian Perhubungan dan Korlantas Polri juga menyiapkan beberapa delaying system di lokasi dekat pelabuhan menuju Pelabuhan Merak dan Ciwandan. Mulai dari Rest Area KM 43, KM 68, KM 97 Tol Tangerang-Merak.",2023-04-10 10:36:37,"Pelabuhan Ciwandan, Korlantas Polri, Pelabuhan Panjang Kementerian Perhubungan, KM 97, KM 68, Instagram, Ditjen Bina Marga, Ditjen Hubdat, Rest Area KM 43, Sumatera - Kendaraan",https://finance.detik.com/berita-ekonomi-bisnis/d-6664467/pelabuhan-ciwandan-dan-panjang-beroperasi-saat-mudik-lebaran-2023?pk_vid=b9277c572f02caa9175799147846444d
ASDP Siapkan 49 Kapal Feri Gilimanuk-Ketapang Angkut Pemudik,"PT ASDP Indonesia Ferry menyiapkan 49 armada kapal selama momen mudik Idul Fitri. Selain itu, akan disiapkan tiga skema untuk mengantisipasi kemacetan.

Manajer Usaha PT ASDP Indonesia Ferry Pelabuhan Gilimanuk Djumadi mengatakan pada skema normal akan digunakan pola reguler. Yakni, tujuh dermaga di Pelabuhan Gilimanuk akan diisi oleh 28 kapal dengan setiap dermaga diisi oleh empat kapal.

Namun, jika terjadi peningkatan jumlah penumpang pada waktu angkutan Lebaran, enam dermaga akan ditambah dengan satu kapal, kecuali dermaga LCM yang tetap menggunakan empat kapal.

SCROLL TO CONTINUE WITH CONTENT

""Karena volume kapal di dermaga LCM tidak memungkinkan jika ditambah dengan kapal, sehingga tetap maksimal empat kapal yang akan beroperasi,"" beber Djumadi kepada detikBali, Selasa (4/3/2023).

Sementara untuk skema padat, akan digunakan 32 kapal dengan tetap menggunakan waktu port time bongkar muat 45 menit serta berlayar 48 menit. Namun, ketika terjadi kepadatan dan diharuskan menggunakan skema sangat padat akan digunakan pola penuh berangkat tanpa menggunakan sistem waktu muat.

ADVERTISEMENT

""Kalau sangat padat itu, yang selama ini memakai jam jadwal atau port time bongkar muat serta berlayar nantinya akan memakai pola penuh berangkat, dalam artian tidak memakai sistem waktu muat,"" papar Djumadi.

Mengenai antisipasi cuaca buruk, Djumadi menjelaskan telah memastikan fasilitas dermaga siap dan tidak ada kendala. Namun, jika terjadi angin kencang yang mencapai lebih dari 30 knot, kewenangan akan diserahkan pada Balai Pengelola Transportasi Daerah (BPTD).

""Nantinya kalau memang tidak memungkinkan berlayar, kewenangan BPTD melakukan penundaan penyeberangan,"" kata Djumadi.

ASDP juga memperbaiki dermaga LCM yang sering terjadi kapal kandas lantaran pendangkalan. Jelas Djumadi, saat ini masih dalam proses penyedotan dan diharapkan akan selesai sebelum masa mudik sehingga tidak mengganggu proses bongkar muat.

""Kami juga berharap cuaca mendukung dan bersahabat pada saat angkutan lebaran nanti,"" tandas Djumadi.",2023-04-04 16:20:53,"PT ASDP, Djumadi, Indonesia, Balai Pengelola Transportasi Daerah, BPTD, Pelabuhan Gilimanuk",https://www.detik.com/bali/berita/d-6655547/asdp-siapkan-49-kapal-feri-gilimanuk-ketapang-angkut-pemudik
"Tiket Kapal Feri buat Mudik Bisa Dipesan Online, Jangan Percaya Calo!","Masyarakat yang akan mudik Lebaran bisa membeli tiket kapal feri mulai sekarang melalui aplikasi dan web Ferizy sejak H-60 sebelum keberangkatan. Penjualan tiket kapal feri kini sudah tidak dilakukan lagi di pelabuhan.

Corporate Secretary PT ASDP Indonesia Ferry (Persero) Shelvy Arifin mengingatkan para pengguna jasa penyeberangan kapal ferry khususnya di lintas sibuk Merak-Bakauheni dan Ketapang-Gilimanuk agar membeli tiket Lebaran mulai dari sekarang.

""Jadi, untuk tiket Lebaran pada akhir April 2023 nanti, sudah bisa dibeli dari sekarang baik via aplikasi atau website Ferizy. Calon pemudik harus sudah mulai rencanakan jadwal berangkat, minimal H-1 sudah bertiket. Saat ini sudah tidak ada penjualan tiket di pelabuhan,"" tutur Shelvy dalam keterangan tertulis, Senin (3/4/2023).

SCROLL TO CONTINUE WITH CONTENT

Demi kenyamanan para pemudik dimohon agar tidak membeli tiket kapal feri di calo. Selain online, pemudik dapat membeli tiket di gerai retail seperti Alfamart, Indomaret, Agen BRILink, dan lainnya. Sementara, pembayaran tiketnya dapat dilakukan melalui cara transfer antarbank, e-wallet, gerai retail, internet banking, dan lainnya.

""Para pemudik diharapkan mengisi data diri untuk manifest dengan lengkap dan benar, jangan gunakan data diri orang lain. Pastikan data penumpang dan kendaraan tercatat, supaya terlindungi asuransi penyeberangan,"" tutur Shelvy.

ADVERTISEMENT

Pengguna jasa yang telah membeli tiket, lanjut Shelvy, diminta mengatur waktu di hari H keberangkatan agar tidak terlambat dengan melakukan check in dua jam sebelumnya. Tiket pun akan hangus atau tidak berlaku jika melewati waktu jadwal masuk pelabuhan. Apabila tiba di pelabuhan belum bertiket, maka kendaraan akan diputar balik keluar pelabuhan.

Pada masa Angkutan Lebaran 2023, telah disiapkan alat produksi pada 8 lintasan terpantau sebanyak 51 dermaga (42 dermaga ASDP, 2 dermaga UPT, dan 7 dermaga Pelindo), dan kapal siap operasi sebanyak 213 unit diantaranya 50 unit kapal ASDP, 160 unit kapal reguler non ASDP, dan 1 unit kapal Pelni.

ASDP pun siap melayani pemudik khususnya di delapan lintasan penyeberangan laut terpantau nasional yang berada di bawah koordinasi sembilan kantor cabang. Kedelapan lintasan itu adalah Bakauheni-Merak, Ketapang-Gilimanuk, Padangbai-Lembar, Kayangan-Pototano, Panajam-Kariangau, Tanjung Api-api-Tanjung Kelian, Bajoe-Kolaka, dan Ajibata-Ambarita.

Berlanjut ke halaman berikutnya.",2023-04-03 16:31:57,"kapal ASDP, di Kawasan Pelabuhan Merak, Shelvy Arifin, Ilham Malik, Bakauheni, kapal Pelni, Institut Teknologi Sumatera, Tanjung Api, PT ASDP, Pelindo)",https://finance.detik.com/berita-ekonomi-bisnis/d-6653424/tiket-kapal-feri-buat-mudik-bisa-dipesan-online-jangan-percaya-calo?pk_vid=b9277c572f02caa9175799149446444d
